"Sequence Number";Count
0;9302
1;9298
2;9295
3;9263
4;9333
5;9302
6;9320
7;9326
8;9304
9;9280
10;9359
11;9365
12;9277
13;9307
14;9394
15;9374
16;9253
17;9278
18;9348
19;9339
20;9346
21;9338
22;9339
23;9383
24;9337
25;9326
26;9321
27;9321
28;9379
29;9342
30;9341
31;9364
32;9377
33;9346
34;9350
35;9353
36;9376
37;9384
38;9362
39;9341
40;9380
41;9374
42;9384
43;9374
44;9377
45;9373
46;9377
47;9353
48;9357
49;9382
50;9345
51;9367
52;9360
53;9374
54;9363
55;9336
56;9351
57;9338
58;9320
59;9331
60;9315
