"Sequence Number",Count,States
0,9302,Normal
1,9298,Normal
2,9295,Normal
3,9263,Normal
4,9333,Normal
5,9302,Normal
6,9320,Normal
7,9326,Normal
8,9304,Normal
9,9280,Normal
10,9359,Normal
11,9365,Normal
12,9277,Normal
13,9307,Normal
14,9394,Normal
15,9374,Normal
16,9253,Normal
17,9278,Normal
18,9348,Normal
19,9339,Normal
20,9346,Normal
21,9338,Normal
22,9339,Normal
23,9383,Normal
24,9337,Normal
25,9326,Normal
26,9321,Normal
27,9321,Normal
28,9379,Normal
29,9342,Normal
30,9341,Normal
31,9364,Normal
32,9377,Normal
33,9346,Normal
34,9350,Normal
35,9353,Normal
36,9376,Normal
37,9384,Normal
38,9362,Normal
39,9341,Normal
40,9380,Normal
41,9374,Normal
42,9384,Normal
43,9374,Normal
44,9377,Normal
45,9373,Normal
46,9377,Normal
47,9353,Normal
48,9357,Normal
49,9382,Normal
50,9345,Normal
51,9367,Normal
52,9360,Normal
53,9374,Normal
54,9363,Normal
55,9336,Normal
56,9351,Normal
57,9338,Normal
58,9320,Normal
59,9331,Normal
60,9315,
