Sequence Number,Count,States
0,9302,Hyperhydrated
1,9298,Hyperhydrated
2,9295,Hyperhydrated
3,9263,Hyperhydrated
4,9333,Hyperhydrated
5,9302,Hyperhydrated
6,9320,Hyperhydrated
7,9326,Hyperhydrated
8,9304,Hyperhydrated
9,9280,Hyperhydrated
10,9359,Hyperhydrated
11,9365,Hyperhydrated
12,9277,Hyperhydrated
13,9307,Hyperhydrated
14,9394,Hyperhydrated
15,9374,Hyperhydrated
16,9253,Hyperhydrated
17,9278,Hyperhydrated
18,9348,Hyperhydrated
19,9339,Hyperhydrated
20,9346,Hyperhydrated
21,9338,Hyperhydrated
22,9339,Hyperhydrated
23,9383,Hyperhydrated
24,9337,Hyperhydrated
25,9326,Hyperhydrated
26,9321,Hyperhydrated
27,9321,Hyperhydrated
28,9379,Hyperhydrated
29,9342,Hyperhydrated
30,9341,Hyperhydrated
31,9364,Hyperhydrated
32,9377,Hyperhydrated
33,9346,Hyperhydrated
34,9350,Hyperhydrated
35,9353,Hyperhydrated
36,9376,Hyperhydrated
37,9384,Hyperhydrated
38,9362,Hyperhydrated
39,9341,Hyperhydrated
40,9380,Hyperhydrated
41,9374,Hyperhydrated
42,9384,Hyperhydrated
43,9374,Hyperhydrated
44,9377,Hyperhydrated
45,9373,Hyperhydrated
46,9377,Hyperhydrated
47,9353,Hyperhydrated
48,9357,Hyperhydrated
49,9382,Hyperhydrated
50,9345,Hyperhydrated
51,9367,Hyperhydrated
52,9360,Hyperhydrated
53,9374,Hyperhydrated
54,9363,Hyperhydrated
55,9336,Hyperhydrated
56,9351,Hyperhydrated
57,9338,Hyperhydrated
58,9320,Hyperhydrated
59,9331,Hyperhydrated
60,9315,Hyperhydrated
